gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29146	Maria	Mussini	Vicepresidente	2015-09-17	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29137	Corradino	Mineo	Membro	2015-10-29	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29068	Massimo	Cervellini	Segretario	2013-04-10	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29041	Giovanni	Barozzino	Membro	2013-03-19	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/31010	Bartolomeo	Amidei	Membro	2017-10-10	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25531	Silvana Andreina	Comaroli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22735	Sergio	Divina	Membro	2015-02-24	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25528	Nunziante	Consiglio	Membro	2013-03-19	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29059	Stefano	Candiani	Vicepresidente Vicario	2014-07-15	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25359	Jonny	Crosio	Membro	2013-05-08	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/20001	Raffaele	Volpi	Membro	2014-07-15	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29185	Erika	Stefani	Vicepresidente	2014-07-15	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/30915	Paolo	Tosato	Membro	2014-07-03	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/4569	Giacomo	Stucchi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29067	Gian Marco	Centinaio	Presidente	2014-07-08	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29039	Paolo	Arrigoni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29102	Luigi	Gaetti	Membro	2016-12-20	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29090	Daniela	Donno	Membro	2013-03-19	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29050	Rosetta Enza	Blundo	Membro	2016-02-02	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29143	Nicola	Morra	Membro	2013-09-30	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29106	Mario Michele	Giarrusso	Membro	2016-02-02	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29189	Paola	Taverna	Vicepresidente Vicario	2017-12-21	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29069	Lello	Ciampolillo	Membro	2013-03-19	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29070	Andrea	Cioffi	Membro	2017-03-28	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29161	Vito Rosario	Petrocelli	Membro	2016-12-20	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29154	Sara	Paglini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29066	Nunzia	Catalfo	Membro	2016-09-13	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29140	Michela	Montevecchi	Vicepresidente	2017-12-21	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29061	Enrico	Cappelletti	Membro	2017-10-05	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29132	Bruno	Marton	Membro	2017-10-05	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29179	Manuela	Serra	Membro	2015-11-02	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29147	Paola	Nugnes	Membro	2017-06-27	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29164	Sergio	Puglia	Segretario	2017-10-05	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29174	Vincenzo	Santangelo	Segretario d'Aula	2015-04-22	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29123	Stefano	Lucidi	Tesoriere	2016-12-20	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29093	Elena	Fattori	Membro	2014-07-15	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29034	Alberto	Airola	Membro	2015-01-16	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29065	Gianluca	Castaldi	Membro	2017-06-27	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29055	Maurizio	Buccarella	Membro	2014-07-14	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29056	Elisa	Bulgarelli	Membro	2013-09-30	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29130	Carlo	Martelli	Membro	2017-06-27	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29142	Vilma	Moronese	Presidente	2017-12-21	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29053	Laura	Bottici	Membro	2016-05-12	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29046	Ornella	Bertorotta	Membro	2016-12-20	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29177	Marco	Scibona	Membro	2015-01-16	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29117	Barbara	Lezzi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/71	Movimento 5 Stelle	http://dati.senato.it/senatore/29075	Vito Claudio	Crimi	Segretario	2017-12-21	17
