idSpeaker	affilialtion_to	role	from	to
28548	GOV.LETTA.1	ministro della giustizia	2013-04-28	2014-02-21
28670	GOV.LETTA.1	ministro per gli affari regionali e le autonomie	2013-04-28	2014-02-21
28670	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2014-02-22	2015-04-02
28670	GOV.RENZI.1	ministro delle infrastrutture e dei trasporti	2015-04-02	2016-12-11
28670	GOV.GENTILONI.1	sottosegretario di Stato per le politiche agricole alimentari e forestali	2016-12-12	2018-05-31
29565	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2014-02-28	2016-12-11
29565	GOV.GENTILONI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2016-12-29	2018-05-31
29573	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2014-02-28	2016-04-12
29573	GOV.RENZI.1	sottosegretario di Stato per lo sviluppo economico	2016-04-12	2016-12-11
29573	GOV.GENTILONI.1	sottosegretario di Stato per lo sviluppo economico	2016-12-12	2018-05-31
29573	GOV.CONTE.2	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2019-09-13	2021-01-14
33750	GOV.CONTE.1	ministro della difesa	2018-06-01	2019-09-04
34693	GOV.CONTE.2	ministro dell'economia e delle finanze	2019-09-05	2021-02-12
29393	GOV.CONTE.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2018-06-13	2019-09-04
30752	GOV.RENZI.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2014-02-28	2015-11-02
32833	GOV.CONTE.2	sottosegretario di Stato per l'istruzione, l'università e la ricerca	2019-09-13	2020-01-10
32833	GOV.CONTE.2	ministro dell'istruzione	2020-01-10	2021-02-12
25389	GOV.LETTA.1	sottosegretario di Stato per l'istruzione, l'università e la ricerca	2013-05-03	2014-02-21
25389	GOV.RENZI.1	sottosegretario di Stato per l'istruzione, l'università e la ricerca	2014-02-28	2016-12-11
25389	GOV.GENTILONI.1	sottosegretario di Stato per l'istruzione, l'università e la ricerca	2016-12-29	2018-05-31
29377	GOV.CONTE.1	sottosegretario di Stato per le infrastrutture e i trasporti	2018-06-13	2019-09-04
29425	GOV.CONTE.2	sottosegretario di Stato per la giustizia	2019-09-13	2021-02-12
29433	GOV.CONTE.1	ministro della salute	2018-06-01	2019-09-04
29580	GOV.CONTE.1	sottosegretario di Stato per l'interno	2018-06-13	2019-09-04
29580	GOV.CONTE.2	sottosegretario di Stato per l'interno	2019-09-13	2021-02-12
30744	GOV.RENZI.1	ministro dell'economia e delle finanze	2014-02-24	2016-12-11
30744	GOV.GENTILONI.1	ministro dell'economia e delle finanze	2016-12-12	2018-05-31
29257	GOV.RENZI.1	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2016-01-29	2016-12-11
29257	GOV.GENTILONI.1	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2016-12-29	2018-05-31
29257	GOV.CONTE.2	ministro per gli affari europei	2019-09-05	2021-02-12
30743	GOV.RENZI.1	ministro del lavoro e delle politiche sociali	2014-02-22	2016-12-11
30743	GOV.GENTILONI.1	ministro del lavoro e delle politiche sociali	2016-12-12	2018-05-31
33753	GOV.CONTE.1	ministro dell'istruzione, dell'università e della ricerca	2018-06-01	2019-09-04
29446	GOV.CONTE.2	sottosegretario di Stato per le politiche agricole alimentari e forestali	2019-09-13	2021-02-12
34697	GOV.CONTE.2	ministro per le pari opportunità e la famiglia	2019-09-05	2021-01-14
25521	GOV.LETTA.1	ministro delle politiche agricole alimentari e forestali	2013-04-28	2014-01-30
25563	GOV.GENTILONI.1	sottosegretario di Stato per l'economia e le finanze	2016-12-29	2018-05-31
25563	GOV.CONTE.2	sottosegretario di Stato per l'economia e le finanze	2019-09-13	2021-02-12
